latitude,longitude,frp
-15.44666,135.61179,8.2
-15.44271,135.61105,5.8
-15.43876,135.61034,5.8
-15.43176,135.60367,3.8
-15.42781,135.60294,2.9
-15.42203,135.61264,6.7
-15.42295,135.60742,6.7
-15.42386,135.60222,2.9
-15.41716,135.61714,5.2
-15.41808,135.61192,20.5
-15.41229,135.62166,5.2
-15.41321,135.61642,5.2
-15.40833,135.62093,9.7
-15.40437,135.62021,9.7
-15.39435,135.60757,5.3
-15.3904,135.60684,5.3
-15.28446,134.39288,9.6
-15.27765,134.41049,14.8
-15.27688,134.41502,7.9
-15.27317,134.41438,7.9
-15.26947,134.41373,11.5
-15.25584,134.44872,9.1
-15.25134,134.45262,9.1
-15.24685,134.45651,6.1
-15.24314,134.45586,6.1
-15.23943,134.4552,10.4
-15.2378,134.45628,7.9
-15.22742,134.44974,9.3
-15.87137,130.36194,7
-15.86641,130.37222,12.1
-15.86308,130.3717,7.4
-15.8766,130.2814,4.6
-15.87714,130.27779,6.5
-15.87273,130.28448,4.6
-15.87326,130.28088,4.6
-15.87381,130.27727,6.5
-15.86885,130.28758,8.1
-15.87047,130.27675,7
-15.86713,130.27621,7
-15.86542,130.26482,14
-15.86434,130.27209,6.4
-15.86488,130.26845,14
-15.861,130.27156,6.4
-15.86263,130.26068,19
-15.86317,130.25706,19
-15.85875,130.26381,4.3
-15.85929,130.26018,7.1
-15.85983,130.25655,7.1
-15.86037,130.25293,4.5
-15.85487,130.26692,4.3
-15.85541,130.26329,4.3
-15.85045,130.27362,10.7
-15.85099,130.27002,10.7
-15.84497,130.28749,7.3
-15.84551,130.28389,7.3
-15.84605,130.28029,9
-15.84766,130.2695,10.7
-15.84217,130.28337,23.6
-15.84271,130.27977,52.5
-15.84379,130.27257,44.1
-15.84325,130.27617,52.5
-15.84432,130.26897,44.1
-15.79184,130.32349,5.1
-15.7885,130.32297,5.1
-15.78904,130.31935,5.1
-15.78571,130.31882,5.1
-15.78625,130.31522,4.8
-15.79216,130.27548,4.4
-15.78419,130.31488,10.3
-15.78365,130.3185,7.4
-15.7814,130.31075,10.3
-15.77915,130.30299,3.2
-15.77691,130.29523,21.6
-15.77745,130.29161,8.6
-15.78124,130.26633,5.7
-15.77411,130.29109,3.8
-15.77132,130.28694,3.8
-15.56764,131.60049,14.6
-15.77069,130.26834,8
-15.56039,131.60303,14.5
-15.76511,130.26006,7.6
-15.76016,130.27036,21.3
-15.7607,130.26675,31.8
-15.55314,131.60556,6.3
-15.54034,131.59972,10
-15.53756,131.59555,11.7
-15.53422,131.595,7.1
-15.53478,131.59138,7.1
-17.00772,142.77963,8.9
-17.00169,142.77826,8.9
-16.99466,142.78162,4.3
-16.98763,142.78499,4.3
-16.98863,142.78027,4.3
-16.98059,142.78838,10
-16.98159,142.78363,23.8
-16.97455,142.78702,10
-16.96852,142.78564,3.9
-16.94939,142.78632,9.2
-16.94336,142.78496,15.8
-16.94437,142.78024,15.8
-16.93834,142.77887,15.8
-16.93935,142.77417,17.3
-16.93332,142.77281,24.3
-16.9323,142.77753,20.9
-16.93434,142.7681,24.3
-16.10931,144.24757,6.1
-16.10271,144.24579,6.1
-16.11309,144.24867,6.3
-16.09988,144.24512,9.3
-16.09193,144.24944,19
-16.09326,144.24341,9.3
-16.07703,144.28497,34.3
-16.07837,144.27892,10.5
-16.07973,144.2728,10.5
-16.08525,144.24797,7.8
-16.0703,144.28368,34.3
-16.07166,144.27754,10.5
-16.07303,144.27142,10.5
-16.07858,144.24651,7.8
-16.06497,144.27609,13.5
-16.06911,144.25757,13
-16.07189,144.24509,29
-16.07328,144.23885,12.4
-16.06382,144.24988,29
-16.06519,144.2437,29
-16.04222,144.34636,7
-16.06246,144.25594,13
-16.0666,144.23743,12.4
-16.03277,144.3571,6.2
-16.03423,144.3506,6.2
-16.0571,144.24857,5.9
-16.05849,144.24237,5.9
-16.0276,144.34869,6.2
-16.00983,144.39627,10.9
-16.01113,144.39052,10.5
-16.00308,144.39482,10.9
-16.0057,144.38326,10.5
-16.00965,144.36575,3.7
-15.99622,144.39389,6.6
-15.98934,144.39301,6.6
-15.98248,144.39206,13
-16.02536,144.35094,5.3
-16.00927,144.39229,8
-16.01052,144.38661,8
-16.00116,144.39705,9.8
-16.00255,144.39075,14.9
-16.00504,144.37935,6.5
-16.00897,144.36145,5.6
-15.98745,144.39514,10.9
-15.98887,144.38867,12.7
-15.98062,144.39407,10.9
-16.63681,136.87186,9.5
-16.6361,136.87581,4.8
-16.63752,136.86789,9.5
-16.63191,136.87503,4.8
-16.63333,136.86711,9.5
-16.65536,136.72054,4.3
-16.65122,136.71968,4.3
-16.44121,136.80167,7.3
-16.44115,136.80127,6.2
-16.33976,136.81061,14.8
-16.33556,136.80983,15.9
-16.33529,136.80983,41
-16.37576,136.46263,3.7
-16.3703,136.46947,5.2
-16.36961,136.47331,5.2
-16.37098,136.46568,3.7
-16.37166,136.46185,3.7
-16.37234,136.45807,4.4
-16.37301,136.4543,4.4
-16.37026,136.44597,22.6
-16.36482,136.47641,3.5
-16.36551,136.47256,8
-16.36823,136.45731,6.1
-16.37093,136.44223,21.9
-16.36071,136.47562,3.5
-16.36616,136.44522,22.6
-16.36683,136.44147,21.9
-16.35661,136.47484,5.9
-16.35045,136.48552,2.5
-16.35114,136.48166,2.5
-16.34635,136.4847,10.7
-16.34565,136.48854,4
-16.34155,136.48773,4
-16.33605,136.49469,4
-16.33125,136.49773,4
-16.33194,136.49388,4
-16.33814,136.45958,4
-16.33882,136.45581,4
-16.23475,136.97911,13
-16.2355,136.97501,13
-16.2305,136.97832,20.1
-16.22625,136.97752,20.1
-16.22276,136.97258,15.9
-16.31282,136.45882,7
-16.30871,136.45807,6.6
-16.29002,136.51366,10.1
-16.24437,136.52138,6
-16.24645,136.50977,4.6
-16.24715,136.50586,1.6
-16.24024,136.52058,2.5
-16.23473,136.5275,7.4
-16.21684,136.53204,12.9
-16.21753,136.52821,12.9
-16.21202,136.53508,11.3
-16.21271,136.53127,18.3
-16.21132,136.53889,11.3
-16.2065,136.54195,2.8
-16.20719,136.5381,11.3
-16.20789,136.53429,11.3
-16.20858,136.53049,18.3
-16.20237,136.54115,29.7
-16.19683,136.5481,19.6
-16.19824,136.54036,29.7
-16.19198,136.55119,32.2
-16.1934,136.54343,32.7
-16.19269,136.54732,32.2
-16.18785,136.55042,32.2
-16.18856,136.54652,32.2
-16.18371,136.54964,4.2
-12.40768,135.58807,4
-12.41162,135.56525,6.7
-11.10838,142.52832,22.1
-12.40682,135.56833,6.7
-12.40616,135.57213,5.6
-12.40748,135.56451,6.7
-12.40814,135.56073,5.8
-12.40268,135.5676,5.1
-12.40334,135.5638,5.1
-12.404,135.56,32.9
-12.38635,135.61238,3.4
-12.35927,135.57162,13.1
-12.35994,135.56783,5.9
-12.36061,135.56401,5.9
-12.36128,135.56023,7.7
-12.35579,135.56709,5.9
-12.35646,135.56329,5.9
-12.35713,135.55951,7.7
-12.3578,135.55571,7.7
-12.35232,135.56256,13.4
-12.35299,135.55876,15.1
-12.35098,135.57018,4.7
-12.35165,135.56636,13.4
-12.35366,135.55496,15.1
-13.12957,130.74773,3.1
-13.13012,130.74417,4
-13.12569,130.75076,3.1
-13.12624,130.74719,3.1
-13.12376,130.74956,8.8
-13.116,130.75565,4.8
-12.30904,135.51093,4.1
-13.08492,130.75806,2.6
-12.17776,136.2392,7.7
-12.30491,135.51018,6.7
-12.30557,135.50639,6.7
-13.08159,130.75752,1.4
-12.30078,135.50946,6.7
-12.30144,135.50565,6.7
-13.08156,130.73557,4.4
-13.05837,130.84164,4.1
-13.05892,130.83807,4.1
-13.05947,130.8345,7.3
-13.06003,130.83092,7.3
-13.05504,130.84111,8.4
-13.05669,130.8304,10.7
-13.05115,130.84416,10.4
-13.05336,130.82986,10.7
-13.04726,130.84721,4.9
-13.0439,130.82472,7.7
-13.04445,130.82114,7.7
-12.2677,135.50371,6
-12.26836,135.49992,6
-12.37934,134.86266,8.2
-12.38024,134.85747,8.2
-12.45695,134.41083,8.2
-12.45778,134.40596,8.2
-12.37628,134.85678,27.8
-12.37717,134.85162,13.4
-12.99604,131.08896,3.6
-12.3651,134.89772,1.6
-12.37231,134.85612,27.8
-12.37321,134.85097,13.4
-12.44841,134.41438,8.3
-13.03114,130.84097,7.7
